Source,Target,Type,Id,Label,Weight
76,67,Directed,720,,1.0
82,67,Directed,721,,1.0
89,67,Directed,722,,1.0
90,67,Directed,723,,1.0
225,67,Directed,724,,1.0
92,67,Directed,725,,1.0
24,68,Directed,726,,1.0
34,68,Directed,727,,1.0
1,69,Directed,728,,1.0
3,69,Directed,729,,1.0
6,69,Directed,730,,1.0
230,69,Directed,731,,1.0
10,69,Directed,732,,1.0
12,69,Directed,733,,1.0
13,69,Directed,734,,1.0
16,69,Directed,735,,1.0
231,69,Directed,736,,1.0
30,69,Directed,737,,1.0
33,69,Directed,738,,1.0
267,69,Directed,739,,1.0
40,69,Directed,740,,1.0
41,69,Directed,741,,1.0
43,69,Directed,742,,1.0
45,69,Directed,743,,1.0
47,69,Directed,744,,1.0
51,69,Directed,745,,1.0
52,69,Directed,746,,1.0
53,69,Directed,747,,1.0
266,69,Directed,748,,1.0
57,69,Directed,749,,1.0
59,69,Directed,750,,1.0
254,69,Directed,751,,1.0
210,69,Directed,752,,1.0
62,69,Directed,753,,1.0
63,69,Directed,754,,1.0
67,69,Directed,755,,1.0
71,69,Directed,756,,1.0
78,69,Directed,757,,1.0
80,69,Directed,758,,1.0
308,69,Directed,759,,1.0
82,69,Directed,760,,1.0
84,69,Directed,761,,1.0
90,69,Directed,762,,1.0
226,69,Directed,763,,1.0
96,69,Directed,764,,1.0
99,69,Directed,765,,1.0
216,205,Directed,766,,1.0
36,205,Directed,767,,1.0
0,71,Directed,768,,1.0
1,71,Directed,769,,1.0
6,71,Directed,770,,1.0
10,71,Directed,771,,1.0
16,71,Directed,772,,1.0
20,71,Directed,773,,1.0
32,71,Directed,774,,1.0
40,71,Directed,775,,1.0
41,71,Directed,776,,1.0
47,71,Directed,777,,1.0
254,71,Directed,778,,1.0
69,71,Directed,779,,1.0
80,71,Directed,780,,1.0
82,71,Directed,781,,1.0
84,71,Directed,782,,1.0
225,71,Directed,783,,1.0
289,72,Directed,784,,1.0
78,72,Directed,785,,1.0
217,73,Directed,786,,1.0
27,73,Directed,787,,1.0
43,73,Directed,788,,1.0
210,73,Directed,789,,1.0
214,73,Directed,790,,1.0
30,74,Directed,791,,1.0
53,74,Directed,792,,1.0
266,74,Directed,793,,1.0
41,75,Directed,794,,1.0
4,76,Directed,795,,1.0
284,76,Directed,796,,1.0
67,76,Directed,797,,1.0
92,76,Directed,798,,1.0
16,78,Directed,799,,1.0
17,78,Directed,800,,1.0
30,78,Directed,801,,1.0
41,78,Directed,802,,1.0
63,78,Directed,803,,1.0
69,78,Directed,804,,1.0
72,78,Directed,805,,1.0
225,78,Directed,806,,1.0
1,80,Directed,807,,1.0
6,80,Directed,808,,1.0
230,80,Directed,809,,1.0
16,80,Directed,810,,1.0
231,80,Directed,811,,1.0
30,80,Directed,812,,1.0
33,80,Directed,813,,1.0
267,80,Directed,814,,1.0
42,80,Directed,815,,1.0
47,80,Directed,816,,1.0
51,80,Directed,817,,1.0
254,80,Directed,818,,1.0
210,80,Directed,819,,1.0
63,80,Directed,820,,1.0
273,80,Directed,821,,1.0
69,80,Directed,822,,1.0
71,80,Directed,823,,1.0
308,80,Directed,824,,1.0
82,80,Directed,825,,1.0
226,80,Directed,826,,1.0
6,308,Directed,827,,1.0
10,308,Directed,828,,1.0
231,308,Directed,829,,1.0
30,308,Directed,830,,1.0
32,308,Directed,831,,1.0
40,308,Directed,832,,1.0
43,308,Directed,833,,1.0
48,308,Directed,834,,1.0
266,308,Directed,835,,1.0
57,308,Directed,836,,1.0
210,308,Directed,837,,1.0
62,308,Directed,838,,1.0
63,308,Directed,839,,1.0
273,308,Directed,840,,1.0
66,308,Directed,841,,1.0
69,308,Directed,842,,1.0
80,308,Directed,843,,1.0
86,308,Directed,844,,1.0
225,308,Directed,845,,1.0
226,308,Directed,846,,1.0
0,82,Directed,847,,1.0
3,82,Directed,848,,1.0
230,82,Directed,849,,1.0
10,82,Directed,850,,1.0
14,82,Directed,851,,1.0
16,82,Directed,852,,1.0
231,82,Directed,853,,1.0
30,82,Directed,854,,1.0
32,82,Directed,855,,1.0
40,82,Directed,856,,1.0
41,82,Directed,857,,1.0
43,82,Directed,858,,1.0
45,82,Directed,859,,1.0
266,82,Directed,860,,1.0
67,82,Directed,861,,1.0
69,82,Directed,862,,1.0
71,82,Directed,863,,1.0
80,82,Directed,864,,1.0
225,82,Directed,865,,1.0
226,82,Directed,866,,1.0
217,83,Directed,867,,1.0
6,83,Directed,868,,1.0
284,83,Directed,869,,1.0
30,83,Directed,870,,1.0
31,83,Directed,871,,1.0
266,83,Directed,872,,1.0
57,83,Directed,873,,1.0
254,83,Directed,874,,1.0
273,83,Directed,875,,1.0
84,83,Directed,876,,1.0
1,84,Directed,877,,1.0
6,84,Directed,878,,1.0
32,84,Directed,879,,1.0
40,84,Directed,880,,1.0
41,84,Directed,881,,1.0
49,84,Directed,882,,1.0
266,84,Directed,883,,1.0
254,84,Directed,884,,1.0
69,84,Directed,885,,1.0
71,84,Directed,886,,1.0
83,84,Directed,887,,1.0
225,84,Directed,888,,1.0
98,84,Directed,889,,1.0
17,85,Directed,890,,1.0
89,85,Directed,891,,1.0
0,86,Directed,892,,1.0
16,86,Directed,893,,1.0
48,86,Directed,894,,1.0
53,86,Directed,895,,1.0
266,86,Directed,896,,1.0
210,86,Directed,897,,1.0
308,86,Directed,898,,1.0
30,214,Directed,899,,1.0
44,214,Directed,900,,1.0
53,214,Directed,901,,1.0
73,214,Directed,902,,1.0
4,89,Directed,903,,1.0
34,89,Directed,904,,1.0
67,89,Directed,905,,1.0
85,89,Directed,906,,1.0
90,89,Directed,907,,1.0
4,90,Directed,908,,1.0
230,90,Directed,909,,1.0
16,90,Directed,910,,1.0
231,90,Directed,911,,1.0
41,90,Directed,912,,1.0
43,90,Directed,913,,1.0
289,90,Directed,914,,1.0
58,90,Directed,915,,1.0
254,90,Directed,916,,1.0
62,90,Directed,917,,1.0
67,90,Directed,918,,1.0
69,90,Directed,919,,1.0
89,90,Directed,920,,1.0
225,90,Directed,921,,1.0
99,90,Directed,922,,1.0
0,225,Directed,923,,1.0
1,225,Directed,924,,1.0
3,225,Directed,925,,1.0
230,225,Directed,926,,1.0
10,225,Directed,927,,1.0
216,225,Directed,928,,1.0
