Id,Label,Country,Following,Followers,Tweets
259,@raphaelvarane,France,87,4431543,1083
452,@GemmaAnneStyles,United_kingdom,850,3557943,8972
321,@RamazzottiEros,Italy,123,902855,3803
217,@xSqueeZie,France,413,4927136,15939
16,@GIRACKENDJI,France,2943,1531290,3273
412,@leonardopieracc,Italy,546,1178422,3800
446,@coldplay,United_kingdom,1515,25490941,7235
204,@heidiklum,Germany,130,5292202,4628
493,@LewisHamilton,United_kingdom,824,5257029,11
374,@NicoSavi,Italy,537,1844591,15559
526,@ArianaGrande,United_states,64895,57078563,40416
617,@ActuallyNPH,United_states,124,27721789,2831
367,@XFactor_Italia,Italy,253,1258061,21063
497,@jk_rowling,United_kingdom,550,13975866,9630
607,@NFL,United_states,2491,24519659,161653
522,@MileyCyrus,United_states,384,38943252,9267
619,@MariahCarey,United_states,93,20440243,7630
155,@BibisBeauty,Germany,1513,2074778,12004
90,@le_Parisien,France,910,2018650,226251
678,@elmundoes,Spain,1348,3074912,173027
686,@SeFutbol,Spain,203,2006658,29918
166,@ApeCrime,Germany,1,1137323,19
568,@tomhanks,United_states,25,15084115,826
243,@xcintakiehlx,Germany,1323,3620476,7489
375,@alecattelan,Italy,430,1086969,16603
226,@lafouine78,France,2421,4585451,19978
427,@ManUtd,United_kingdom,105,16922866,43487
112,@bushido,Germany,38,1192873,14364
6,@jeromejarre,France,9686,1657403,17976
425,@SoVeryBritish,United_kingdom,1,3460248,3473
231,@MPokora,France,529,6143642,19910
363,@milanmiracle,Italy,631,1152960,2815
472,@Harry_Styles,United_kingdom,2043,31660956,5404
541,@ddlovato,United_states,551,54270040,16620
411,@LaStampa,Italy,329,987083,310447
292,@DFB_Team,Germany,233,3246558,18162
713,@BoseOfficial,Spain,133,2812784,2492
662,@_danielmartin_,Spain,3179,1921912,29809
442,@CalvinHarris,United_kingdom,3538,13283835,673
48,@SemounElie,France,52,1674863,5284
450,@JessieJ,United_kingdom,125,9057888,20411
127,@RegSprecher,Germany,117,895937,9788
137,@saschalobo,Germany,4354,719590,5652
17,@fhollande,France,1543,2115197,4901
210,@gadelmaleh,France,1114,7873686,5208
640,@AnnaSimonMari,Spain,348,2014271,3247
92,@mediapart,France,1537,2251137,72762
415,@robertosaviano,Italy,864,1678354,8108
550,@ladygaga,United_states,128219,76436714,8664
701,@Atleti,Spain,56,3824698,52541
340,@frafacchinetti,Italy,142278,1275082,19525
438,@ChelseaFC,United_kingdom,261,11488835,77528
655,@vegetta777,Spain,280,5397027,49939
76,@20Minutes,France,1470,2329400,250550
649,@_Pedro17_,Spain,185,4555761,606
51,@JPGaultier,France,778,1531678,5951
475,@Number10gov,United_kingdom,787,5506395,11972
192,@ShirinDavid,Germany,22,1394505,6279
650,@rickyrubio9,Spain,230,2840297,3357
13,@mamadousakho,France,310,1389157,1062
86,@dubosc_franck,France,33,1905341,9322
645,@perezreverte,Spain,909,1947943,32121
612,@BillGates,United_states,183,43498955,2571
159,@GQMagazine,Germany,745,1255692,76828
322,@mengonimarco,Italy,159,1735805,15566
105,@smashingmag,Germany,1871,1030381,69068
323,@Negramaro,Italy,6365,1199613,22772
255,@tagesschau,Germany,295,2382233,153654
672,@mangelrogel,Spain,781,5277151,46257
180,@MartinSchulz,Germany,3293,681746,4546
485,@danielhowell,United_kingdom,759,7691299,16215
471,@Tate,United_kingdom,1225,4763595,14345
355,@matteorenzi,Italy,614,3346223,6361
694,@Cosmopolitan_es,Spain,1196,1924735,74408
156,@marteria,Germany,207,832361,1727
638,@aarbeloa17,Spain,1071,5631240,4933
704,@Buenafuente,Spain,1884,3610679,12960
