Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
8806, Trivial Pursuit: All American Edition, 1993, 2, 6, 60, 60, 60, 177, -1, 
5916, Trivial Pursuit: All Star Sports Edition, 1983, 2, 6, 60, 60, 60, 311, -1, 
16131, Trivial Pursuit: Baby Boomer Master Game, 1981, 2, 24, 1, 1, 1, 72, -1, 
2953, Trivial Pursuit: Genus II, 1984, 2, 24, 90, 90, 90, 1088, -1, 
16129, Trivial Pursuit: Pocket Player Set – TP's People, 1987, 2, 12, 30, 30, 30, 74, -1, 
2957, Trivial Pursuit: The 1980's, 1989, 2, 6, 90, 90, 90, 595, -1, 
4952, Trivial Pursuit: TV Edition – 4;800 Questions and Answers, 1992, 2, 6, 60, 60, 60, 229, -1, 
11883, Trivial Pursuit: Volume 6, 2003, 2, 6, 90, 90, 90, 511, -1, 
5839, Trivial Pursuit: Walt Disney Family Edition Card Set, 1985, 2, 6, 90, 90, 90, 295, -1, 
26055, Twilight Imperium (Second Edition), 2000, 2, 6, 240, 240, 240, 815, -1, 
6283, The Ungame, 1973, 2, 6, 60, 60, 60, 413, -1, 
3529, Vampire Hunter, 2002, 2, 4, 30, 30, 30, 1020, -1, 
19051, Viking Adventure, 2004, 1, 6, 30, 30, 30, 13, -1, 
27826, What's Yours Like?, 2007, 4, 20, 45, 45, 45, 840, -1, 
6800, Win; Lose or Draw, 1987, 3, 8, 45, 45, 45, 553, -1, 
147190, Yggdrasil Second Edition with Asgard Expansion, 2013, 1, 6, 75, 75, 75, 399, -1, 
150370, Zeppeldrome, 2014, 2, 4, 90, 90, 90, 9, -1, 
8994, Zingers, 2001, 4, 8, 20, 20, 20, 25, -1, 
14075, Zobmondo! The Twisted; Sick & Wrong Version, 2002, 4, 16, 20, 20, 20, 30, -1, 
21866, Zobmondo!! Would you rather...? Twisted; sick and wrong. Late night., 2005, 3, -1, 30, 30, 30, 140, -1, 
171356, Argonauts, 2015, 1, 4, 60, 60, 60, 515, -1, 
