Juego,R1, P1, R2, P2, R3, P3, R4, P4, R5, P5, R6, P6, R7, P7, R8, P8, R9, P9, R10, P10
156129, 146508, 3.0, 30549, 2.0, 180585, 2.0, 229632, 2.0, 224316, 2.0, 230303, 2.0, 230304, 2.0, 230305, 2.0, 224037, 2.0, 178900, 2.0, 
225694, 84876, 6.0, 180263, 6.0, 157354, 6.0, 28143, 6.0, 822, 5.0, 230802, 5.0, 43570, 5.0, 107529, 5.0, 163412, 5.0, 161417, 5.0, 
483, 124361, 2.0, 245638, 2.0, 178900, 2.0, 216132, 2.0, 201808, 2.0, 239188, 2.0, 18602, 2.0, 102794, 2.0, 84876, 2.0, 28720, 2.0, 
92828, 84876, 6.0, 157354, 6.0, 171623, 6.0, 170042, 5.0, 34635, 5.0, 224316, 5.0, 39856, 5.0, 201808, 5.0, 36218, 5.0, 2651, 5.0, 
62219, 216132, 5.0, 102794, 5.0, 84876, 5.0, 28720, 5.0, 31260, 5.0, 122515, 5.0, 70149, 5.0, 2651, 5.0, 12333, 5.0, 108745, 4.0, 
40834, 36218, 6.0, 68448, 6.0, 34635, 5.0, 216132, 5.0, 18602, 5.0, 84876, 5.0, 31260, 5.0, 157354, 5.0, 2651, 5.0, 28143, 5.0, 
30618, 40834, 1.0, 36218, 1.0, 62219, 1.0, 92828, 1.0, 39856, 1.0, 483, 1.0, 225694, 1.0, 156129, 1.0, 170624, 1.0, 39463, 1.0, 
72125, 178900, 5.0, 239188, 5.0, 84876, 5.0, 157354, 5.0, 164928, 5.0, 3076, 5.0, 28143, 5.0, 120677, 5.0, 150376, 4.0, 147151, 4.0, 
199792, 72125, 1.0, 30618, 1.0, 40834, 1.0, 36218, 1.0, 62219, 1.0, 92828, 1.0, 39856, 1.0, 483, 1.0, 225694, 1.0, 156129, 1.0, 
135779, 72125, 4.0, 225694, 4.0, 178900, 4.0, 239188, 4.0, 84876, 4.0, 180263, 4.0, 157354, 4.0, 31481, 4.0, 164928, 4.0, 3076, 4.0, 
159675, 39856, 3.0, 124361, 3.0, 245638, 3.0, 216132, 3.0, 18602, 3.0, 102794, 3.0, 84876, 3.0, 28720, 3.0, 31260, 3.0, 157354, 3.0, 
157354, 84876, 10.0, 28143, 10.0, 171623, 9.0, 230802, 8.0, 224316, 8.0, 161417, 8.0, 36218, 8.0, 178900, 8.0, 180263, 8.0, 68448, 8.0, 
172, 18602, 5.0, 31260, 5.0, 2651, 5.0, 28143, 5.0, 34635, 4.0, 478, 4.0, 9216, 4.0, 19857, 4.0, 157354, 4.0, 40834, 4.0, 
220308, 84876, 5.0, 120677, 5.0, 822, 4.0, 153938, 4.0, 230802, 4.0, 154203, 4.0, 163412, 4.0, 108745, 4.0, 167791, 4.0, 213460, 4.0, 
31481, 3076, 6.0, 28143, 6.0, 113294, 5.0, 822, 5.0, 8217, 5.0, 40692, 5.0, 224316, 5.0, 157354, 5.0, 201808, 5.0, 84876, 5.0, 
125153, 157354, 5.0, 245638, 5.0, 216132, 5.0, 18602, 5.0, 102794, 5.0, 84876, 5.0, 28720, 5.0, 31260, 5.0, 122515, 5.0, 70149, 5.0, 
103343, 125153, 3.0, 172, 3.0, 157354, 3.0, 40834, 3.0, 36218, 3.0, 62219, 3.0, 245638, 3.0, 178900, 3.0, 216132, 3.0, 18602, 3.0, 
39953, 103343, 1.0, 125153, 1.0, 31481, 1.0, 220308, 1.0, 172, 1.0, 157354, 1.0, 159675, 1.0, 135779, 1.0, 199792, 1.0, 72125, 1.0, 
169255, 157354, 2.0, 224037, 2.0, 178900, 2.0, 216132, 2.0, 239188, 2.0, 124742, 2.0, 185343, 2.0, 161970, 2.0, 180263, 2.0, 173346, 2.0, 
174430, 31481, 2.0, 220308, 2.0, 157354, 2.0, 135779, 2.0, 72125, 2.0, 225694, 2.0, 245638, 2.0, 178900, 2.0, 201808, 2.0, 239188, 2.0, 
193738, 157354, 8.0, 28143, 8.0, 84876, 7.0, 180263, 7.0, 171623, 7.0, 213460, 6.0, 822, 6.0, 161417, 6.0, 126163, 6.0, 245638, 6.0, 
224272, 35677, 1.0, 193738, 1.0, 174430, 1.0, 169255, 1.0, 39953, 1.0, 103343, 1.0, 125153, 1.0, 31481, 1.0, 220308, 1.0, 172, 1.0, 
