Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
221194, Dinosaur Island, 2017, 1, 4, 90, 120, 120, 8960, -1, 
121288, Dixit: Journey, 2012, 3, 6, 30, 30, 30, 7007, -1, 
138547, Dixit: Odyssey (expansion), 2013, 3, 6, 30, 30, 30, 1899, -1, 
158435, Dogs of War, 2014, 3, 5, 75, 75, 75, 2878, -1, 
58421, Egizia, 2010, 2, 4, 90, 90, 90, 3814, -1, 
403, Elk Fest, 2006, 2, 2, 15, 15, 15, 2174, -1, 
177849, Eminent Domain: Base Game Scenarios Promo, 2015, 2, 4, 45, 45, 45, 443, -1, 
86780, Eminent Domain: Bonus Planets, 2011, 2, 4, 45, 45, 45, 2117, -1, 
136313, Eminent Domain: Escalation, 2014, 2, 5, 60, 60, 60, 4506, -1, 
168, Empire Builder, 1982, 2, 6, 180, 180, 180, 3906, -1, 
173442, Empires: Age of Discovery, 2015, 2, 6, 50, 150, 150, 2537, -1, 
206931, Encore!, 2017, 1, 6, 20, -1, 20, 2495, -1, 
233398, Endeavor: Age of Sail, 2018, 2, 5, 60, 90, 90, 4160, -1, 
107255, Evo (second edition), 2011, 2, 5, 60, 60, 60, 2084, -1, 
107190, Flash Duel: Second Edition, 2011, 1, 5, 5, 5, 5, 1093, -1, 
125315, FlowerFall, 2012, 2, 7, 10, 10, 10, 1080, -1, 
170813, Francis Drake: The Expansions, 2015, 2, 6, 90, 90, 90, 1083, -1, 
119506, Freedom: Le Chemin de Fer Clandestin, 2016, 1, 4, 60, 120, 120, 5071, -1, 
181279, Fury of Dracula (third/fourth edition), 2015, 2, 5, 120, 180, 180, 14751, -1, 
38378, Galaxy Trucker: The Big Expansion, 2008, 2, 5, 60, 60, 60, 6815, -1, 
193148, The Gallerist: KS Stretch Goal Pack #2, 2015, 1, 4, -1, -1, -1, 1354, -1, 
1345, Genoa, 2001, 2, 5, 60, 120, 120, 6852, -1, 
207207, Glüx, 2016, 2, 4, 30, 45, 45, 1365, -1, 
178452, La Granja: 2nd Edition Promo Cards, 2015, 1, 4, 90, 120, 120, 1365, -1, 
111417, The Great Heartland Hauling Co., 2013, 2, 4, 30, 30, 30, 3465, -1, 
225704, Great Western Trail: Promo Station Master Tiles, 2017, 2, 4, 75, 150, 150, 1086, -1, 
238620, Great Western Trail: The Eleventh Building Tile, 2017, 2, 4, 75, 150, 150, 611, -1, 
37628, Haggis, 2010, 2, 3, 45, 45, 45, 5581, -1, 
162179, Hansa Teutonica: Britannia, 2014, 2, 5, 45, 90, 90, 2169, -1, 
83404, Hansa Teutonica: East Expansion, 2010, 3, 5, 45, 75, 75, 2814, -1, 
54361, Heroscape Master Set:  Battle for the Underdark, 2010, 2, 2, 60, 60, 60, 2438, -1, 
27976, Heroscape Master Set: Swarm of the Marro, 2007, 2, 4, 60, 60, 60, 4410, -1, 
92898, Innovation: Échos, 2013, 2, 5, 60, 60, 60, 4660, -1, 
211116, Isle of Skye: From Chieftain to King – Themenplättchen, 2016, 2, 5, 30, 50, 50, 1098, -1, 
141816, Keyflower: Emporium & Monument, 2013, 2, 6, 90, 90, 90, 1775, -1, 
205504, Keyflower: Keymelequin, 2016, 2, 6, 90, 120, 120, 1619, -1, 
180037, Keyflower: Pig Shelter, 2015, 2, 6, 90, 120, 120, 1305, -1, 
16991, Khet: The Laser Game, 2005, 2, 2, 20, 20, 20, 3610, -1, 
206327, The King's Guild, 2018, 1, 6, 60, 120, 120, 539, -1, 
31594, L'Année du Dragon, 2007, 2, 5, 75, 100, 100, 8529, -1, 
107863, Lancaster: The New Laws, 2012, 2, 5, 60, 60, 60, 1696, -1, 
149975, Las Vegas Boulevard, 2014, 1, 8, 30, 75, 75, 2124, -1, 
66056, Les Princes de Catane, 2010, 2, 2, 45, 120, 120, 9892, -1, 
151464, Lords of Vegas: UP!, 2014, 2, 6, 60, 90, 90, 1917, -1, 
229123, Lorenzo il Magnifico: Houses of Renaissance, 2018, 2, 5, -1, -1, -1, 1917, -1, 
206374, Lost Cities: Expedition 6 – The Lost Expedition, 2016, 2, 2, 30, 30, 30, 1024, -1, 
144763, Mage Knight Board Game: Krang Character Expansion, 2013, 1, 5, 90, 90, 90, 6007, -1, 
176130, Mage Knight Board Game: Shades of Tezla Expansion, 2015, 1, 5, 60, 240, 240, 4164, -1, 
63628, The Manhattan Project, 2014, 2, 5, 120, 120, 120, 10647, -1, 
108421, The Manhattan Project: Nations Expansion, 2011, 2, 5, 120, 120, 120, 3249, -1, 
128883, The Manhattan Project: Second Stage, 2016, 2, 5, 120, 120, 120, 2889, -1, 
99875, Martian Dice, 2011, 2, 99, 10, 10, 10, 4628, -1, 
